,Year 1,Year 2,Year 3
,,,
Sales revenue,90000000.00,112896000.00,126443520.00
Variable Cost of Goods Sold,57600000.00,72253440.00,80923852.80
Fixed Cost of Goods Sold,2400000.00,3010560.00,3371827.20
Depreciation,2858.00,4898.00,3498.00
Gross Margin,29997142.00,37627102.00,42144342.00
Variable Operating Costs,25368000.00,31821619.20,35640213.50
Fixed Operating Costs,5000.00,2958.49,2081.74
Operating Income,4624142.00,5802524.31,6502046.75
Interest Expense,120000.00,360000.00,600000.00
Income Before Tax,4504142.00,5442524.31,5902046.75
Income tax (40%),1801656.80,2177009.72,2360818.70
Net Income After Tax,2702485.20,3265514.59,3541228.05